timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:25:20.562733,0,0,23.87843418121338,0.0,0.0,4.0,46.3,139338451,22856654992,337158,16401231,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:21.564252,0,0,24.879953145980835,0.0,0.0,9.6,46.5,139359346,22856678664,337277,16401346,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:22.565603,0,0,25.881303548812866,0.0,0.0,3.0,46.5,139372128,22856696497,337319,16401388,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:23.567184,0,0,26.882885456085205,0.0,0.0,11.5,46.5,139394788,22856733266,337374,16401442,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:24.568827,0,0,27.884528160095215,0.0,0.0,21.6,46.4,139437452,22856776462,337447,16401514,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:25.570417,0,0,28.886117935180664,0.0,0.0,9.1,46.1,139443622,22856785835,337494,16401552,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:26.571929,0,0,29.887630462646484,0.0,0.0,9.0,46.1,139475471,22856807342,337577,16401633,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:27.573463,0,0,30.889164447784424,0.0,0.0,8.5,46.1,139481902,22856815330,337614,16401670,1.2100000000000002,,192.168.1.100
2024-09-22 18:25:28.577590,0,0,31.893290996551514,0.0,0.0,6.5,46.1,139575292,22856877295,337692,16401744,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:29.579112,0,0,32.89481329917908,0.0,0.0,8.5,46.1,139586751,22856886565,337733,16401780,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:30.580625,0,0,33.89632606506348,0.0,0.0,2.5,46.1,139609371,22856894306,337784,16401825,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:31.581939,0,0,34.897639751434326,0.0,0.0,16.9,45.3,139611630,22856896448,337799,16401839,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:32.584066,0,0,35.89976739883423,0.0,0.0,27.6,44.7,139638328,22856928363,337950,16401991,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:33.585587,0,0,36.90128803253174,0.0,0.0,32.5,44.7,139671303,22856952631,338003,16402044,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:34.587258,0,0,37.90295910835266,0.0,0.0,19.1,44.8,139678685,22856961528,338044,16402085,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:35.588871,0,0,38.904571771621704,0.0,0.0,9.6,45.1,139681899,22856965035,338064,16402103,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:36.589670,0,0,39.90537095069885,0.0,0.0,6.5,45.1,139731706,22857005078,338265,16402296,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:37.591243,0,0,40.906943798065186,0.0,0.0,6.0,45.1,139750058,22857026785,338368,16402398,1.3310000000000004,,192.168.1.100
2024-09-22 18:25:38.595510,0,0,41.911211013793945,0.0,0.0,5.0,45.2,139762125,22857041241,338431,16402460,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:39.597177,0,0,42.912877559661865,0.0,0.0,9.6,45.2,139774625,22857055802,338503,16402529,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:40.598801,0,0,43.91450214385986,0.0,0.0,5.4,45.2,139807229,22857093893,338687,16402710,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:41.600356,0,0,44.916056632995605,0.0,0.0,2.0,45.2,139808386,22857094601,338694,16402715,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:42.601616,0,0,45.917317152023315,0.0,0.0,3.0,45.2,139841620,22857119681,338759,16402776,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:43.603184,0,0,46.91888499259949,0.0,0.0,18.6,44.8,139936176,22857185802,338836,16402849,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:44.604704,0,0,47.92040467262268,0.0,0.0,8.6,44.8,139965648,22857217857,338987,16403000,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:45.605610,0,0,48.921310901641846,0.0,0.0,14.6,45.3,139975454,22857228818,339032,16403040,1.4641000000000006,,192.168.1.100
2024-09-22 18:25:46.607279,0,0,49.92297959327698,0.0,0.0,4.0,44.9,139995775,22857255218,339137,16403147,1.4641000000000006,,192.168.1.100
